Type,Chemical,Unit,Maximum Allowed,Goal,Average Level Detected,Highest Level Detected,Range Detected,Florence Plant,Platte South Plant,Peaking Wells,Likely source(s)
Regulated,Total Coliform bacteria,%,5,0,,0.62,,,,,Bacteria naturally present in the environment; used as an indicator that other potentially harmful bacteria may be present.
Regulated,E. Coli bacteria,,,0,,0,,,,,Naturally present in the environment.
Regulated,Lead,ppb,15,0,,6.1,1.31-9.69,,,, Erosion of natural deposits; leaching from wood preservatives; corrosion of household plumbing systems.
Regulated,Copper,ppm,1.3,1.3,,0.0208,0.0053-0.0821,,,,Erosion of natural deposits; leaching from wood preservatives; corrosion of household plumbing systems.
Regulated,Turbidity,NTU,1,NA,,0.24,,,,,Soil runoff.
Regulated,Arsenic,ppb,10,0,,5.07,<2-5.07,,,,Runoff from orchards; natural deposits; runoff from glass and electronic production wastes.
Regulated,Barium,ppm,2,2,,0.18,0.03-0.18,,,,Discharge of drilling wastes; discharge from metal refineries; erosion of natural deposits.
Regulated,Chromium,ppb,100,100,,16.5,<0.2-16.5,,,,Discharge from chemical and agricultural chemical factories.
Regulated,Chromium VI,ppb,100,100,,1.4,0.13-1.40,,,,Discharge from chemical and agricultural chemical factories.
Regulated,Fluoride,ppm,4,4,,0.92,0.75-0.92,,,,Erosion of natural deposits; water additive to promote strong teeth; fertilizer discharge.
Regulated,Gross Alpha,pCi/L,15,0,,7.2,<1.2-7.20,,,,Erosion of natural deposits.
Regulated,Radium (Ra 226 plus Ra 228),pCi/L,5,0,,2.1,<0.1-2.1,,,,Erosion of natural deposits.
Regulated,Nitrate and Nitrite total (as Nitrogen),ppm,10,10,,5.1,0.23-5.10,,,,"Runoff from fertilizer use; leaching from septic tanks, sewage; erosion of natural deposits."
Regulated,Selenium,ppb,50,50,,7.33,<5.0-7.33,,,,
Regulated,Sodium,ppm,500,NA,,105,37-105,,,,"An element of the alkali metal group found in nature, soil, rocks and other deposits."
Regulated,Trihaloacetic acids (HAA5s),ppb,60,NA,,21.3,10.4-41.3,,,,By-product of drinking water chlorination.
Regulated,Trihalomethanes total (TTHMs),ppb,80,NA,,37,23.7-70.1,,,,By-product of drinking water chlorination.
Regulated,Atrazine,ppb,3,3,,0.13,<0.03-0.13,,,,
Unregulated,Nickel,ppb,,,0.00000467,,0.00000113-0.0000289,,,,
Unregulated,Bromochlooacetic acid,ppb,,,5.7,, 3.91-9.14,,,,
Unregulated,Bromodichloromethane,ppb,,,10,, 7.43-19.0,,,,
Unregulated,Bromoform,ppb,,,0.84,, <0.5-2.20,,,,
Unregulated,Chloroform,ppb,,,21.1,, 7.7-44.0,,,,
Unregulated,Dichoroacetic acid,ppb,,,1.87,, <0.59-4.36,,,,
Unregulated,Dibromochloromethane,ppb,,,5.3,, 2.24-14.0,,,,
Unregulated,Dibromoacetic acid,ppb,,,15.1,, 5.98-29.3,,,,
Unregulated,Monobromoacetic acid,ppb,,,2.08,, <2.0-2.78,,,,
Unregulated,Total Organic Carbon (TOC),ppm,,,2.93,, 2.30-3.40,,,,
Unregulated,Trichloroacetic acid,ppb,,,3.96,, 1.33-8.61,,,,
Unregulated,Molybdenum,ppb,,,3.62,, 3.1-3.8,,,,
Unregulated,Radium-226,pCi/L,,,0.6,, <0.1-0.97,,,,
Unregulated,Radium-228,pCi/L,,,0.79,, <0.6-1.3,,,,
Unregulated,Strontium,ppb,,,320,, 280-380,,,,
Unregulated,Sulfate,ppm,,,74,, 13.8-220,,,,
Unregulated,Vanadium,ppb,,,3.74,, 1.7-5.0,,,,
Mineral,pH,pH units,,,8.85,, 8.61-9.22,,,,
Mineral,Alkalinity (total) as CaCO3,ppm,,,109,, 54-137,,,,
Mineral,Aluminum,ppm,,,0.05,, <0.01-0.23,,,,
Mineral,Calcium,ppm,,,46,, 40-61,,,,
Mineral,Chloride,ppm,,,28,, 19-49,,,,
Mineral,Color (in cobalt platinum units),ppm,,,2,, 1-3,,,,
Mineral,Dissolved Solids,ppm,,,459,, 372-573,,,,
Mineral,Hardness (total) as CaCO3,grains per gallon,,,10,, 9-13,,,,
Mineral,Iron,ppm,,, <0.02,, <0.02,,,,
Mineral,Magnesium,ppm,,,14,, 9-23,,,,
Mineral,Manganese,ppm,,, <0.02,, <0.02-0.02,,,,
Mineral,Phosphate,ppm,,,0.17,, <0.05-0.32,,,,
Mineral,Silica,ppm,,,22.2,, 4.7-34.5,,,,
Mineral,Spec. Conductance @25 deg. C.,umhos,,,593,, 453-780,,,,
Mineral,Temperature,degrees Celsius,,,14.8,, 1.8-27.3,,,,
Mineral,Zinc,ppm,,, <0.01,, <0.01,,,,
Mineral,Potassium,ppm,,,9,, 6-12,,,,
