Type,Chemical,Unit,Maximum Allowed,Goal,Average Level Detected,Highest Level Detected,Range Detected,Florence Plant,Platte South Plant,Peaking Wells,Likely source(s)
Regulated,Total Coliform bacteria, %, 5% positive,0,,0.33,,,,,Bacteria naturally present in the environment; used as an indicator that other potentially harmful bacteria may be present.
Regulated,E. Coli bacteria,,,0,,0,,,,,Naturally present in the environment.
Regulated,Lead,ppb,15,0,,8.3,1.09-52.1,,,, Erosion of natural deposits; leaching from wood preservatives; corrosion of household plumbing systems.
Regulated,Copper,ppm,1.3,1.3,,0.0368,0.00549-0.135,,,,Erosion of natural deposits; leaching from wood preservatives; corrosion of household plumbing systems.
Regulated,Turbidity,NTU,1,NA,,0.29,,,,,Soil runoff.
Regulated,Arsenic,ppb,10,0,,4.72,<2-4.72,,,,Runoff from orchards; natural deposits; runoff from glass and electronic production wastes.
Regulated,Atrazine,ppb,3,3,,0.22,<0.08-0.545,,,," ""Runoff from herbicide used on row crops."""
Regulated,Barium,ppm,2,2,,0.1,0.05-0.10,,,,Discharge of drilling wastes; discharge from metal refineries; erosion of natural deposits.
Regulated,Chromium,ppb,100,100,,1.65,0.184-1.65,,,,Discharge from chemical and agricultural chemical factories.
Regulated,Fluoride,ppm,4,4,,0.951,0.355-0.951,,,,Erosion of natural deposits; water additive to promote strong teeth; fertilizer discharge.
Regulated,Gross Alpha,pCi/L,15,0,,6,<1.8-6.0,,,,Erosion of natural deposits.
Regulated,Radium (Ra 226 plus Ra 228),pCi/L,5,0,,2.5,<0.8-2.5,,,,Erosion of natural deposits.
Regulated,Nitrate and Nitrite total (as Nitrogen),ppm,10,10,,2.66,0.37-2.66,,,,"Runoff from fertilizer use; leaching from septic tanks, sewage; erosion of natural deposits."
Regulated,Selenium,ppb,50,50,,7.88,<5.0-7.88,,,,Discharge from petroleum and metal refineries; erosion natural of deposits; discharge from mines.
Regulated,Sodium,ppm,500,NA,,90,30.0-90.0,,,,"An element of the alkali metal group found in nature, soil, rocks and other deposits."
Regulated,Trihaloacetic acids (HAA5s),ppb,60,NA,,22.3,10.0-38.8,,,,By-product of drinking water chlorination.
Regulated,Trihalomethanes total (TTHMs),ppb,80,NA,,50,24.9-76.3,,,,By-product of drinking water chlorination.
Unregulated,Nickel,ppm,,,0.00222,,0.00193-0.00269,,,,
Unregulated,Bromochlooacetic acid,ppb,,,5.37,,3.01-9.36,,,,
Unregulated,Bromodichloromethane,ppb,,,13.3,,5.37-21.1,,,,
Unregulated,Bromoform,ppb,,,0.92,,<0.5-1.93,,,,
Unregulated,Chloroform,ppb,,,27.1,,9.5-62.0,,,,
Unregulated,Dichoroacetic acid,ppb,,,2.03,,0.69-3.15,,,,
Unregulated,Dibromochloromethane,ppb,,,6.98,,1.19-10.7,,,,
Unregulated,Dibromoacetic acid,ppb,,,13.2,,5.23-28.8,,,,
Unregulated,Metolachlor,ppb,,,0.11,,<0.1-0.236,,,,
Unregulated,Monobromoacetic acid,ppb,,,1.08,,<1.0-2.79,,,,
Unregulated,Monochloroacetic acid,ppb,,,2.08,,<2.0-3.83,,,,
Unregulated,N-Nitrosodimethylamine (NDMA),ppb,,,0.0023,,<0.0020-0.0039,,,,
Unregulated,Total Organic Carbon (TOC),ppm,,,3.54,,2.80-5.20 ,,,,
Unregulated,Trichloroacetic acid,ppb,,,3.2,,1.32-6.13 ,,,,
Unregulated,Sulfate,ppm,,,110,,75-213 ,,,,
Unregulated,Radium-226,pCi/l,,, <0.1,,0-0.1 ,,,,
Unregulated,Radium-228,pCi/l,,,1,,0-2.5 ,,,,
Mineral,pH,pH units,,,8.94,, 8.73-9.25,,,,
Mineral,Alkalinity (total) as CaCO3,ppm,,,107,, 49-139,,,,
Mineral,Aluminum,ppm,,,0.04,,<0.01-0.38,, ,,
Mineral,Calcium,ppm,,,46,,31-58,,,,
Mineral,Chloride,ppm,,,24,,16-39,,,,
Mineral,Color (in cobalt platinum units),ppm,,,2,, 1-3 ,,,,
Mineral,Dissolved Solids,ppm,,,436,,382-528 ,,,,
Mineral,Hardness (total) as CaCO3,grains per gallon,,,10,,14-Sep,,,,
Mineral,Iron,ppm,,,0.04,,<0.02-0.13 ,,,,
Mineral,Magnesium,ppm,,,13,,24-Aug,,,,
Mineral,Manganese,ppm,,,<0.02,,<0.02-0.02 ,,,,
Mineral,Phosphate,ppm,,,0.14,, <0.05-0.27 ,,,,
Mineral,Silica,ppm,,,21.8,,4.2-42.4 ,,,,
Mineral,Spec. Conductance @25 deg. C.,umhos,,,566,,464-730 ,,,,
Mineral,Temperature,degrees Celsius,,,15.8,,1.3-26.9 ,,,,
Mineral,Zinc,ppm,,,<0.01,,<0.01,,,,
