Type,Chemical,Unit,Maximum Allowed,Goal,Average Level Detected,Highest Level Detected,Range Detected,Florence Plant,Platte South Plant,Peaking Wells,Likely source(s)
Regulated,Total Coliform bacteria, %, 5% positive,0,,0.29,,,,,Bacteria naturally present in the environment; used as an indicator that other potentially harmful bacteria may be present.
Regulated,E. Coli bacteria,,,0,,0,,,,,Naturally present in the environment.
Regulated,Lead,ppb,15,0,,8.3,1.09-52.1,,,, Erosion of natural deposits; leaching from wood preservatives; corrosion of household plumbing systems.
Regulated,Copper,ppm,1.3,1.3,,0.0368,0.00549-0.135,,,,Erosion of natural deposits; leaching from wood preservatives; corrosion of household plumbing systems.
Regulated,Turbidity,NTU,1,NA,,0.21,,,,,Soil runoff.
Regulated,Arsenic,ppb,10,0,,4.72,<2-4.72,,,,Runoff from orchards; natural deposits; runoff from glass and electronic production wastes.
Regulated,Atrazine,ppb,3,3,,0.21,<0.08-0.563,,,," ""Runoff from herbicide used on row crops."""
Regulated,Barium,ppm,2,2,,0.2,0.05-0.20,,,,Discharge of drilling wastes; discharge from metal refineries; erosion of natural deposits.
Regulated,Chromium,ppb,100,100,,9.53,0.184-9.53,,,,Discharge from chemical and agricultural chemical factories.
Regulated,Fluoride,ppm,4,4,,1.03,0.228-1.03,,,,Erosion of natural deposits; water additive to promote strong teeth; fertilizer discharge.
Regulated,Gross Alpha,pCi/L,15,0,,7.9,<1.8-7.9,,,,Erosion of natural deposits.
Regulated,Radium (Ra 226 plus Ra 228),pCi/L,5,0,,3.7,<0.8-3.7,,,,Erosion of natural deposits.
Regulated,Nitrate and Nitrite total (as Nitrogen),ppm,10,10,,4.44,0.25-4.44,,,,"Runoff from fertilizer use; leaching from septic tanks, sewage; erosion of natural deposits."
Regulated,Selenium,ppb,50,50,,7.88,<5.0-7.88,,,,Discharge from petroleum and metal refineries; erosion natural of deposits; discharge from mines.
Regulated,Sodium,ppm,500,NA,,181,40.0-181,,,,"An element of the alkali metal group found in nature, soil, rocks and other deposits."
Regulated,Trihaloacetic acids (HAA5s),ppb,60,NA,,20.4,10.1-38.8,,,,By-product of drinking water chlorination.
Regulated,Trihalomethanes total (TTHMs),ppb,80,NA,,51.3,33.5-76.2,,,,By-product of drinking water chlorination.
Unregulated,Nickel,ppm,,,0.00251,,0.00172-0.00601 ,,,,
Unregulated,Bromochlooacetic acid,ppb,,,4.72,,<1.0-9.36,,,,
Unregulated,Bromodichloromethane,ppb,,,10.8,,6.47-21.1,,,,
Unregulated,Bromoform,ppb,,,0.77,,<0.5-1.94,,,,
Unregulated,Chloroform,ppb,,,26.4,,11.1-62.2,,,,
Unregulated,Dichoroacetic acid,ppb,,,1.36,, <0.5-3.3,,,,
Unregulated,Dibromochloromethane,ppb,,,4.98,,1.31-12.9,,,,
Unregulated,Dibromoacetic acid,ppb,,,14.3,,2.59-28.8,,,,
Unregulated,Metolachlor,ppb,,,1.07,,<1.0-2.79,,,,
Unregulated,Monobromoacetic acid,ppb,,, <2.0,,<2.0-3.83,,,,
Unregulated,N-Nitrosodimethylamine (NDMA),ppb,,,0.0023,,<0.0020-0.0039,,,,
Unregulated,Total Organic Carbon (TOC),ppm,,,3.1,,2.80-3.60 ,,,,
Unregulated,Trichloroacetic acid,ppb,,,2.7,,<0.5-6.13,,,,
Unregulated,Sulfate,ppm,,,51.3,,11.6-213 ,,,,
Unregulated,Radium-226,pCi/l,,,0.2,,0-0.8 ,,,,
Unregulated,Radium-228,pCi/l,,,1.2,,0-3.30 ,,,,
Mineral,pH,pH units,,,8.95,, 8.65-9.43,,,,
Mineral,Alkalinity (total) as CaCO3,ppm,,,101,, 52-134,,,,
Mineral,Aluminum,ppm,,,0.07,,<0.01-0.54 ,, ,,
Mineral,Calcium,ppm,,,43,,28-57 ,,,,
Mineral,Chloride,ppm,,,41,,14-208 ,,,,
Mineral,Color (in cobalt platinum units),ppm,,,1,,1.0-3.0,,,,
Mineral,Dissolved Solids,ppm,,,455,,325-709 ,,,,
Mineral,Hardness (total) as CaCO3,grains per gallon,,,9,,7.0-11.0,,,,
Mineral,Iron,ppm,,, <0.02,,<0.02 ,,,,
Mineral,Magnesium,ppm,,,13,,7.0-24.0,,,,
Mineral,Manganese,ppm,,,<0.02,,<0.02-0.03 ,,,,
Mineral,Phosphate,ppm,,,0.17,,<0.05-0.47 ,,,,
Mineral,Silica,ppm,,,20.8,,7.0-32.3 ,,,,
Mineral,Spec. Conductance @25 deg. C.,umhos,,,613,,417-1102 ,,,,
Mineral,Temperature,degrees Celsius,,,16.7,,1.7-29.5 ,,,,
Mineral,Zinc,ppm,,, <0.01,,<0.01 ,,,,
Mineral,Potassium,ppm,,,9,,6.0-13.0,,,,
